TYPE,TEETH OF GEAR,QTY,UNIT,Dia /size,DP/ B.SIZE,Pitch dia(in inch),Module,STORAGE LOCATION RACK AND SLOT NO,UNIQUE ID,
COMP-DIE,24.8,1,Nos,,,,,at stranding m/c,COMP-DIE--24.8----,
COMP-DIE,12.6,1,Nos,,,,,at stranding m/c,COMP-DIE--12.6----,
COMP-DIE,8.4,1,Nos,,,,,at stranding m/c,COMP-DIE--8.4----,
COMP-DIE,5,1,Nos,,,,,at stranding m/c,COMP-DIE--5----,
COMP-DIE,4.9,1,Nos,,,,,at stranding m/c,COMP-DIE--4.9----,
COMP-DIE,8.3,1,Nos,,,,,at stranding m/c,COMP-DIE--8.3----,
COMP-DIE,7.3,1,Nos,,,,,at stranding m/c,COMP-DIE--7.3----,
COMP-DIE,10.3,1,Nos,,,,,at stranding m/c,COMP-DIE--10.3----,
COMP-DIE,9.56,1,Nos,,,,,at stranding m/c,COMP-DIE--9.56----,
COMP-DIE,12.56,1,Nos,,,,,at stranding m/c,COMP-DIE--12.56----,
COMP-DIE,7.55,1,Nos,,,,,at stranding m/c,COMP-DIE--7.55----,
COMP-DIE,13.5,1,Nos,,,,,at stranding m/c,COMP-DIE--13.5----,
COMP-DIE,17.6,1,Nos,,,,,at stranding m/c,COMP-DIE--17.6----,
COMP-DIE,12.3,1,Nos,,,,,at stranding m/c,COMP-DIE--12.3----,
COMP-DIE,21,1,Nos,,,,,at stranding m/c,COMP-DIE--21----,
COMP-DIE,27.56,1,Nos,,,,,at stranding m/c,COMP-DIE--27.56----,
COMP-DIE,23,1,Nos,,,,,at stranding m/c,COMP-DIE--23----,
COMP-DIE,20,1,Nos,,,,,at stranding m/c,COMP-DIE--20----,
COMP-DIE,14,1,Nos,,,,,at stranding m/c,COMP-DIE--14----,
COMP-DIE,18.3,1,Nos,,,,,at stranding m/c,COMP-DIE--18.3----,
COMP-DIE,18.15,1,Nos,,,,,at stranding m/c,COMP-DIE--18.15----,
COMP-DIE,18.2,1,Nos,,,,,at stranding m/c,COMP-DIE--18.2----,
COMP-DIE,15.8,1,Nos,,,,,at stranding m/c,COMP-DIE--15.8----,
COMP-DIE,16,1,Nos,,,,,at stranding m/c,COMP-DIE--16----,
